date,in_window,trade_id,new_deal,lme_flat,cross_exchange_basis,grade_spread,freight,fx,demurrage_penalty,roll_term_structure,residual,daily_pnl_inr,cum_pnl_inr
2022-07-11,True,T06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-217898.72,0.0,-217898.72,10510533.8
2022-07-11,True,T07,0.0,311485.82,0.0,338183.34,0.0,106873.17,0.0,-1313089.97,-0.0,-556547.64,6952159.85
2022-07-11,True,T08,0.0,588781.76,0.0,300607.41,0.0,728434.58,0.0,-1133307.51,0.0,484516.24,9968256.51
2022-07-12,True,BOOK,0.0,-3363005.57,0.0,207519.24,0.0,348255.53,0.0,1258216.29,0.0,-1549014.51,207622752.76
2022-07-12,True,T01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57020559.2
2022-07-12,True,T02,0.0,0.0,0.0,0.0,0.0,-821.6,0.0,37796.99,0.0,36975.38,50546931.45
2022-07-12,True,T03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28191808.86
2022-07-12,True,T04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25721.82,0.0,-25721.82,9576384.51
2022-07-12,True,T05,0.0,0.0,0.0,0.0,0.0,-2068.96,0.0,-46754.8,0.0,-48823.75,36367562.91
2022-07-12,True,T06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-72632.91,0.0,-72632.91,10437900.89
2022-07-12,True,T07,0.0,-1062240.65,0.0,109863.13,0.0,43488.6,0.0,755888.16,-0.0,-153000.77,6799159.08
2022-07-12,True,T08,0.0,-2300764.92,0.0,97656.11,0.0,307657.5,0.0,609640.67,0.0,-1285810.64,8682445.86
2022-07-13,True,BOOK,0.0,-934436.51,0.0,207015.1,0.0,118068.08,0.0,-330093.74,0.0,-939447.07,206683305.69
2022-07-13,True,T01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57020559.2
2022-07-13,True,T02,0.0,0.0,0.0,0.0,0.0,-276.93,0.0,276.93,0.0,0.0,50546931.45
2022-07-13,True,T03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28191808.86
2022-07-13,True,T04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25721.82,0.0,-25721.82,9550662.69
2022-07-13,True,T05,0.0,0.0,0.0,0.0,0.0,-357.87,0.0,-47745.6,-0.0,-48103.48,36319459.43
2022-07-13,True,T06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-72632.91,0.0,-72632.91,10365267.98
2022-07-13,True,T07,0.0,-271215.13,0.0,109596.23,0.0,14950.56,0.0,-89492.83,0.0,-236161.17,6562997.9
2022-07-13,True,T08,0.0,-663221.38,0.0,97418.87,0.0,103752.33,0.0,-94777.51,0.0,-556827.69,8125618.17
2022-07-14,True,BOOK,0.0,-945400.71,0.0,205836.95,0.0,1578769.82,0.0,-596198.52,-0.0,243007.54,206926313.23
2022-07-14,True,T01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57020559.2
2022-07-14,True,T02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50546931.45
2022-07-14,True,T03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28191808.86
2022-07-14,True,T04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25721.82,0.0,-25721.82,9524940.87
2022-07-14,True,T05,0.0,0.0,0.0,0.0,0.0,-4785.64,0.0,-47770.81,0.0,-52556.45,36266902.98
2022-07-14,True,T06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-72632.91,0.0,-72632.91,10292635.07
2022-07-14,True,T07,0.0,-253828.51,0.0,108972.5,0.0,199347.9,0.0,-233670.43,-0.0,-179178.54,6383819.37
2022-07-14,True,T08,0.0,-691572.2,0.0,96864.45,0.0,1384207.56,0.0,-216402.55,-0.0,573097.26,8698715.43
2022-07-15,True,BOOK,-184633.97,-621682.72,0.0,206060.51,0.0,-681215.79,0.0,815562.51,-0.0,-465909.45,206460403.78
