date,lme_cash_usd_t,usdinr,unit_lme_pnl_inr,unit_fx_pnl_inr,unit_lme_var_garch_inr,unit_lme_var_hist250_inr,unit_lme_var_hist60_inr,unit_lme_var_garch_t_inr,unit_lme_exception_garch,unit_lme_exception_hist250,unit_lme_exception_hist60,unit_lme_exception_garch_t,unit_fx_var_garch_inr,unit_fx_var_hist250_inr,unit_fx_var_hist60_inr,unit_fx_var_garch_t_inr,unit_fx_exception_garch,unit_fx_exception_hist250,unit_fx_exception_hist60,unit_fx_exception_garch_t
2022-06-15,2580.0,78.1461,-625168.8,114100.0,6926850.0,6827961.25,7027436.54,6655417.63,False,False,False,False,354555.92,367674.42,356212.22,305513.77,False,False,False,False
2022-06-16,2500.5,78.0716,-6206692.2,-74500.0,6437308.53,6813168.33,6920379.68,6180141.27,False,False,False,True,354436.07,357282.31,355406.35,304083.96,False,False,False,False
2022-06-17,2474.0,78.0765,-2069027.25,4900.0,6814150.12,6612012.37,6821447.26,6548168.58,False,False,False,False,350903.81,356712.68,347783.03,299490.98,False,False,False,False
2022-06-20,2462.0,77.9633,-935559.6,-113200.0,6399448.95,6543531.49,6667288.89,6150504.33,False,False,False,False,344143.47,356218.98,343808.8,291141.82,False,False,False,False
2022-06-21,2519.5,78.1261,4492250.75,162800.0,5945821.75,6500421.56,6426001.87,5712912.57,False,False,False,False,344470.15,355573.39,342467.5,290178.86,False,False,False,False
2022-06-22,2455.5,78.3267,-5012908.8,200600.0,6270235.91,6682201.95,6648991.22,6026685.93,False,False,False,False,350861.07,356456.4,343430.75,295352.86,False,False,False,False
2022-06-23,2480.0,78.2892,1918085.4,-37500.0,6394946.78,6548801.28,6580267.73,6148212.88,False,False,False,False,361186.49,357968.01,339922.28,304938.25,False,False,False,False
2022-06-24,2436.0,78.2958,-3445015.2,6600.0,6114380.9,6598977.99,6548598.17,5877032.65,False,False,False,False,354915.37,357748.66,339781.95,298615.61,False,False,False,False
2022-06-27,2453.0,78.4454,1333571.8,149600.0,5936866.63,6491922.54,6410055.85,5717351.97,False,False,False,False,347386.53,357639.91,336504.27,290994.91,False,False,False,False
2022-06-28,2500.0,78.9774,3711937.8,532000.0,5637969.37,6533089.88,6468080.46,5430172.61,False,False,False,False,351549.98,358653.93,338382.19,294398.0,False,False,False,False
2022-06-29,2452.0,78.955,-3789840.0,-22400.0,5822791.18,6714645.45,6678863.25,5609333.72,False,False,False,False,440592.4,365303.18,349157.77,381992.94,False,False,False,False
2022-06-30,2397.0,79.0536,-4347948.0,98600.0,5758050.38,6586752.61,6539517.52,5547826.31,False,False,False,False,422061.28,364554.6,348514.13,368131.41,False,False,False,False
2022-07-01,2384.0,79.0165,-1027214.5,-37100.0,5822793.45,6455407.18,6465326.01,5610640.32,False,False,False,False,409697.2,364672.39,349396.72,358830.24,False,False,False,False
2022-07-04,2431.5,78.916,3748510.0,-100500.0,5425054.05,6416397.78,6426844.32,5236940.12,False,False,False,False,396825.86,361934.21,346485.98,348242.61,False,False,False,False
2022-07-05,2374.0,79.3712,-4563844.0,455200.0,5608970.09,6547297.8,6579751.22,5414362.82,False,False,False,False,387964.21,360810.74,331230.0,340548.27,False,False,False,False
2022-07-06,2358.0,79.1315,-1266104.0,-239700.0,5770048.74,6444360.58,6523013.36,5568426.38,False,False,False,False,442668.73,365808.14,344281.73,392858.88,False,False,False,False
2022-07-07,2417.5,79.1749,4710906.55,43400.0,5378735.23,6356790.93,6456646.72,5192921.41,False,False,False,False,439749.57,364671.06,328712.7,393037.14,False,False,False,False
