date,in_window,trade_id,leg_id,new_deal,lme_flat,cross_exchange_basis,grade_spread,freight,fx,demurrage_penalty,roll_term_structure,daily_pnl_inr
2022-03-23,True,T01,MCX:T01-MCX-2,0.0,-392938.7,0.0,0.0,0.0,-616116.72,0.0,15252.28,-993803.14
2022-03-23,True,T01,PURCHASE:L1,0.0,0.0,0.0,0.0,0.0,-626826.2,0.0,12875.59,-613950.61
2022-03-23,True,T01,PURCHASE:L2,0.0,0.0,0.0,0.0,0.0,-627161.51,0.0,12624.79,-614536.71
2022-03-23,True,T01,PURCHASE:L3,0.0,0.0,0.0,0.0,0.0,-627329.14,0.0,12499.31,-614829.83
2022-03-23,True,T02,BILL_COMMISSION:L1,0.0,-318.5,0.0,0.0,0.0,-499.4,0.0,7.18,-810.71
2022-03-23,True,T02,BILL_COMMISSION:L2,0.0,-318.72,0.0,0.0,0.0,-499.75,0.0,6.92,-811.56
2022-03-23,True,T02,DUTY:L1,0.0,-7698.96,0.0,0.0,0.0,0.0,0.0,0.0,-7698.96
2022-03-23,True,T02,DUTY:L2,0.0,-7698.96,0.0,0.0,0.0,0.0,0.0,0.0,-7698.96
2022-03-23,True,T02,FUNDING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3459.37,-3459.37
2022-03-23,True,T02,INSURANCE:L1,0.0,-304.88,0.0,0.0,0.0,-478.04,0.0,9.82,-773.1
2022-03-23,True,T02,INSURANCE:L2,0.0,-305.1,0.0,0.0,0.0,-478.38,0.0,9.56,-773.92
2022-03-23,True,T02,LC_USANCE_FEE:L1,0.0,-553.29,0.0,0.0,0.0,-867.54,0.0,17.4,-1403.42
2022-03-23,True,T02,LC_USANCE_FEE:L2,0.0,-553.68,0.0,0.0,0.0,-868.15,0.0,16.94,-1404.89
2022-03-23,True,T02,MCX:T02-MCX-1,0.0,-289991.8,0.0,0.0,0.0,-454698.91,0.0,744690.71,0.0
2022-03-23,True,T02,MCX:T02-MCX-2,0.0,-290861.87,0.0,0.0,0.0,-456063.15,0.0,11510.7,-735414.33
2022-03-23,True,T02,PSIC:L1,0.0,0.0,0.0,0.0,0.0,-306.14,0.0,6.29,-299.85
2022-03-23,True,T02,PSIC:L2,0.0,0.0,0.0,0.0,0.0,-306.36,0.0,6.13,-300.24
2022-03-23,True,T02,PURCHASE:L1,0.0,-279353.75,0.0,0.0,0.0,-438018.75,0.0,6338.98,-711033.52
2022-03-23,True,T02,PURCHASE:L2,0.0,-279541.07,0.0,0.0,0.0,-438312.45,0.0,6115.77,-711737.74
2022-03-23,True,T02,SALE:S1,0.0,863836.44,0.0,0.0,0.0,1354471.01,0.0,-33530.62,2184776.83
2022-03-23,True,T02,USANCE_INTEREST:L1,0.0,-1335.64,0.0,0.0,0.0,-2094.24,0.0,2501.94,-927.94
2022-03-23,True,T02,USANCE_INTEREST:L2,0.0,-1336.58,0.0,0.0,0.0,-2095.72,0.0,2502.57,-929.73
2022-03-23,True,T03,BILL_COMMISSION:L1,-136278.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-136278.72
2022-03-23,True,T03,BILL_COMMISSION:L2,-136388.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-136388.22
2022-03-23,True,T03,DUTY:L1,-3137506.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3137506.97
2022-03-23,True,T03,DUTY:L2,-3137506.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3137506.97
2022-03-23,True,T03,INSURANCE:L1,-124844.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-124844.07
2022-03-23,True,T03,INSURANCE:L2,-124944.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-124944.47
2022-03-23,True,T03,INVENTORY:L1,118854196.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118854196.97
2022-03-23,True,T03,INVENTORY:L2,118854196.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118854196.97
2022-03-23,True,T03,MCX:T03-MCX-1,-134905.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-134905.97
2022-03-23,True,T03,PORT:L1,-1200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1200000.0
2022-03-23,True,T03,PORT:L2,-1200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1200000.0
2022-03-23,True,T03,PSIC:L1,-91898.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-91898.47
2022-03-23,True,T03,PSIC:L2,-91972.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-91972.37
2022-03-23,True,T03,PURCHASE:L1,-113565599.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-113565599.32
2022-03-23,True,T03,PURCHASE:L2,-113656850.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-113656850.31
2022-03-24,True,T01,BILL_COMMISSION:L1,0.0,0.0,0.0,0.0,0.0,75.33,0.0,16.14,91.47
2022-03-24,True,T01,BILL_COMMISSION:L2,0.0,0.0,0.0,0.0,0.0,75.37,0.0,16.14,91.51
2022-03-24,True,T01,BILL_COMMISSION:L3,0.0,0.0,0.0,0.0,0.0,75.39,0.0,16.14,91.53
2022-03-24,True,T01,FREIGHT:L1,0.0,0.0,0.0,0.0,0.0,2780.57,0.0,593.36,3373.93
2022-03-24,True,T01,FREIGHT:L2,0.0,0.0,0.0,0.0,0.0,2782.3,0.0,593.24,3375.54
2022-03-24,True,T01,FREIGHT:L3,0.0,0.0,0.0,0.0,0.0,2782.55,0.0,593.22,3375.78
2022-03-24,True,T01,FUNDING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12399.4,-12399.4
2022-03-24,True,T01,FX:T01-FX-4,0.0,0.0,0.0,0.0,0.0,-8346.91,0.0,-1779.72,-10126.63
2022-03-24,True,T01,INSURANCE:L1,0.0,0.0,0.0,0.0,0.0,72.06,0.0,15.45,87.51
2022-03-24,True,T01,INSURANCE:L2,0.0,0.0,0.0,0.0,0.0,72.1,0.0,15.45,87.54
2022-03-24,True,T01,INSURANCE:L3,0.0,0.0,0.0,0.0,0.0,72.12,0.0,15.45,87.56
2022-03-24,True,T01,INVENTORY:L1,0.0,4808172.97,0.0,485374.3,0.0,-68992.97,0.0,532979.85,5757534.16
2022-03-24,True,T01,INVENTORY:L2,0.0,4808172.97,0.0,485374.3,0.0,-68992.97,0.0,532979.85,5757534.16
2022-03-24,True,T01,INVENTORY:L3,0.0,4808172.97,0.0,485374.3,0.0,-68992.97,0.0,532979.85,5757534.16
