date,scope,trade_id,in_window,buyer_id,supplier_id,mtm_inr,cum_pnl_inr,cash_balance_inr,mcx_im_inr,lme_delta_inr_per_usd_t,lme_delta_mt,lme_delta_usd,lme_delta_physical_mt,lme_delta_mcx_mt,hedge_ratio_lme_frac,mcx_lots_open,mcx_basis_delta_inr_per_inr_kg,fx_delta_usd,fx_delta_physical_usd,fx_delta_forwards_usd,fx_delta_mcx_usd,hedge_ratio_fx_frac,customs_fx_delta_usd,freight_delta_inr_per_usd_t_jea_nsa,freight_delta_inr_per_usd_t_usec_mun,freight_open_mt_jea_nsa,freight_open_mt_usec_mun,freight_open_boxes,grade_delta_inr_per_0p01_zorba,grade_delta_inr_per_0p01_taint_tabor,grade_delta_inr_per_0p01_tense,grade_exposure_mt_zorba,grade_exposure_mt_taint_tabor,grade_exposure_mt_tense,spread_delta_inr_per_usd_t,inr_rate_delta_inr_per_bp,usd_rate_delta_inr_per_bp,wc_rate_delta_inr_per_bp,lme_fx_cross_inr,phys_purchased_mt,phys_sold_mt,unsold_mt,purchase_priced_frac,sale_priced_frac,buyer_receivable_inr,buyer_presettlement_inr,supplier_exposure_inr,days_past_due
2022-05-25,book,BOOK,True,BOOK,BOOK,694837234.68,139505489.16,-775141450.42,63023207.9,-11137.21,-143.5623,-406209.57,2727.985,-2871.5473,1.052626,-528,-716770.5,3001024.2,-1001972.39,12128039.63,-8125043.04,12.104165,-216297.58,0.0,-151130.23,0.0,1890.0,90,2974853.69,0.0,4324979.6,1300.0,0.0,1890.0,-148612.31,4837.51,-6448.62,-212.37,-1.61,8930.0,8280.0,3190.0,0.829932,0.571429,636355288.67,620309477.54,18996556.43,0
2022-05-25,trade,T01,True,"BUY_MUN_01,BUY_RJK_01",SUP_USEC_01,167034000.0,58462495.47,-191097570.03,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52.36,0.0,2520.0,2520.0,0.0,1.0,1.0,169260000.0,0.0,0.0,0
2022-05-25,trade,T02,True,BUY_JNPT_01,SUP_JEA_01,59987733.64,48489546.65,-46880772.64,0.0,-11638.37,-150.0225,-424488.77,-150.0225,0.0,0.0,0,0.0,227937.39,-2190554.79,2418492.18,0.0,1.104055,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,442.76,62.17,-63.08,-12.84,-1.46,1200.0,1200.0,0.0,0.809524,1.0,225595288.67,0.0,18996556.43,0
2022-05-25,trade,T03,True,BUY_JNPT_01,SUP_JEA_01,241500000.0,29106717.39,-252511215.87,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.18,0.0,1200.0,1200.0,0.0,1.0,1.0,241500000.0,0.0,0.0,0
2022-05-25,trade,T04,True,BUY_RJK_01,SUP_USEC_02,236159854.65,11519549.74,-223534911.77,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,,-86910.25,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61.24,0.0,1260.0,1260.0,0.0,1.0,1.0,0.0,246330000.0,0.0,0
2022-05-25,trade,T05,True,BUY_MUN_01,SUP_USEC_01,31716566.91,46525517.34,2283626.97,12533024.3,407.47,5.2524,14861.69,576.2186,-570.9662,0.990885,-105,1398600.0,4181080.28,1709230.94,4087398.22,-1615548.88,-2.391367,-115124.69,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,29511.95,5920.33,-2507.43,0.63,0.46,2100.0,2100.0,0.0,0.0,0.0,0.0,373979477.54,0.0,0
2022-05-25,trade,T06,True,,SUP_JEA_01,-5286742.26,-18112248.89,-33706249.15,21007735.97,1608.37,20.7324,58662.26,977.7805,-957.0481,0.978796,-176,-880000.0,-1108700.01,-70591.37,1669859.01,-2707967.64,,-1977.56,0.0,0.0,0.0,0.0,0,2974853.69,0.0,0.0,1300.0,0.0,0.0,-75853.77,-598.58,-1489.2,-9.23,-0.06,650.0,0.0,1300.0,1.0,0.0,0.0,0.0,0.0,0
2022-05-25,trade,T07,True,,SUP_USEC_02,-36274178.26,-36486088.55,-29694357.93,29482447.63,-1514.67,-19.5246,-55244.75,1324.0084,-1343.533,1.014747,-247,-1235370.5,-299293.47,-450057.18,3952290.23,-3801526.52,8.781751,-12285.08,0.0,-151130.23,0.0,1890.0,90,0.0,0.0,4324979.6,0.0,0.0,1890.0,-102713.26,-546.41,-2388.91,-8.14,-0.55,0.0,0.0,1890.0,1.0,0.0,0.0,0.0,0.0,0
2022-05-26,book,BOOK,True,BOOK,BOOK,693182236.33,138451217.6,-755665070.77,62942535.57,-8747.54,-112.7291,-318515.95,2758.0446,-2870.7737,1.040873,-528,-716400.0,2996169.89,-1019172.41,12126713.3,-8111371.0,11.898589,-216719.1,0.0,-151153.5,0.0,1890.0,90,2974549.02,0.0,4324536.66,1300.0,0.0,1890.0,-149493.28,4901.06,-3876.42,-207.03,-1.31,8930.0,8280.0,3190.0,0.836735,0.571429,636355288.67,619720185.32,19047489.56,0
2022-05-26,trade,T01,True,"BUY_MUN_01,BUY_RJK_01",SUP_USEC_01,167034000.0,58411710.63,-191097570.03,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52.36,0.0,2520.0,2520.0,0.0,1.0,1.0,169260000.0,0.0,0.0,0
2022-05-26,trade,T02,True,BUY_JNPT_01,SUP_JEA_01,60039771.53,48529125.81,-28291788.62,0.0,-8730.13,-112.5047,-317882.11,-112.5047,0.0,0.0,0,0.0,228531.28,-2189691.3,2418222.58,0.0,1.104367,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,316.31,57.54,-58.37,-7.75,-1.1,1200.0,1200.0,0.0,0.857143,1.0,225595288.67,0.0,19047489.56,0
2022-05-26,trade,T03,True,BUY_JNPT_01,SUP_JEA_01,241500000.0,29039611.67,-252511215.87,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.18,0.0,1200.0,1200.0,0.0,1.0,1.0,241500000.0,0.0,0.0,0
