date,value,unit,wow_pct_change_published,wow_usd_change_published,url,archive_url,archived,retrieved
2022-06-09,7578.65,"USD/FEU (Drewry WCI composite, assessed Thursday)",-0.006,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20220615045232/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2022-06-15,2026-09-16
2022-06-16,7502.43,"USD/FEU (Drewry WCI composite, assessed Thursday)",-0.01,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20220620213325/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2022-06-20,2026-09-16
2022-06-30,7066.03,"USD/FEU (Drewry WCI composite, assessed Thursday)",-0.03,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20220703022453/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2022-07-03,2026-09-16
2022-07-07,7050.94,"USD/FEU (Drewry WCI composite, assessed Thursday)",-0.002,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20220711010351/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2022-07-11,2026-09-16
2022-07-14,6998.8,"USD/FEU (Drewry WCI composite, assessed Thursday)",-0.006999999999999999,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20220715000851/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2022-07-15,2026-09-16
2022-07-21,6820.04,"USD/FEU (Drewry WCI composite, assessed Thursday)",-0.026000000000000002,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20220723013007/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2022-07-23,2026-09-16
2022-07-28,6761.63,"USD/FEU (Drewry WCI composite, assessed Thursday)",-0.009000000000000001,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20220803050212/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2022-08-03,2026-09-16
2022-08-04,6628.29,"USD/FEU (Drewry WCI composite, assessed Thursday)",-0.02,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20220808212352/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2022-08-08,2026-09-16
2022-08-11,6430.07,"USD/FEU (Drewry WCI composite, assessed Thursday)",-0.03,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20220813194328/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2022-08-13,2026-09-16
2022-08-18,6223.82,"USD/FEU (Drewry WCI composite, assessed Thursday)",-0.03,,https://www.ajot.com/news/drewry-world-container-index-18-aug,,,2026-09-16
